RoleName,Description,RequiredSkills
"Junior Backend Developer","Writes and tests simple code modules under supervision, following existing design patterns and coding standards.","PROG:2; TEST:2; DESN:2"
"Mid-level Backend Developer","Independently develops backend services and APIs, contributes to system design and resolves moderately complex technical issues.","PROG:3; DESN:3; DBDS:3; REQM:3"
"Senior Backend Developer","Designs and builds complex backend systems, mentors junior developers, and makes key technical decisions for service architecture.","PROG:4; DESN:4; ARCH:4; DBDS:4"
"Lead Backend Developer","Leads a team of backend engineers, sets technical direction, and oversees the software development lifecycle for major systems.","PROG:5; ARCH:5; DLMG:5; SLEN:5"
"Junior Frontend Developer","Implements UI components based on designs and specifications under guidance from senior team members.","PROG:2; HCEV:2; TEST:2"
"Mid-level Frontend Developer","Builds responsive, accessible user interfaces and collaborates with designers to translate mockups into functional features.","PROG:3; HCEV:3; USEV:3"
"Senior Frontend Developer","Owns frontend architecture decisions, optimises application performance, and establishes coding best practices across the team.","PROG:4; HCEV:4; ARCH:4"
"Junior Full-stack Developer","Contributes to both frontend and backend features under supervision, learning end-to-end development practices.","PROG:2; DESN:2; DBDS:2"
"Mid-level Full-stack Developer","Delivers complete features spanning UI, APIs and databases with moderate autonomy and technical ownership.","PROG:3; DESN:3; DBDS:3; DEPL:3"
"Senior Full-stack Developer","Architects end-to-end solutions across the stack, leads technical design reviews, and guides delivery of complex features.","PROG:4; ARCH:4; DESN:4; DLMG:4"
"Junior Mobile Developer","Develops and tests simple mobile application screens and features under supervision.","PROG:2; TEST:2; HCEV:2"
"Mid-level Mobile Developer","Builds native or cross-platform mobile features independently, ensuring performance and usability standards are met.","PROG:3; DESN:3; USEV:3"
"Senior Mobile Developer","Leads mobile app architecture, optimises performance across devices, and mentors the mobile engineering team.","PROG:4; ARCH:4; NFTS:4"
"Junior QA Tester","Executes predefined test cases and reports defects under close supervision.","TEST:2; PRTS:1"
"Mid-level QA Engineer","Designs and executes functional and non-functional test cases and analyses requirements for testability.","TEST:3; NFTS:3; REQM:3"
"Senior QA Automation Engineer","Architects automated test frameworks, defines quality standards, and integrates testing into CI/CD pipelines.","TEST:4; PROG:4; QUMG:4"
"QA Lead / Test Manager","Leads the QA function, defines test strategy across projects, and manages a team of testers and automation engineers.","QUMG:5; TEST:5; PRMG:4"
"Junior DevOps Engineer","Assists with build and deployment pipelines and monitors infrastructure under guidance.","ITOP:2; DEPL:2; SYSP:2"
"Mid-level DevOps Engineer","Builds and maintains CI/CD pipelines, manages infrastructure as code, and troubleshoots deployment issues.","ITOP:3; DEPL:3; RELM:3; CFMG:3"
"Senior DevOps Engineer","Designs scalable infrastructure and release processes, improves system reliability, and embeds security into pipelines.","ITOP:4; IFDN:4; RELM:4; SCTY:4"
"Lead DevOps / Platform Engineer","Owns the platform engineering strategy, leads infrastructure architecture decisions, and drives DevOps culture across teams.","IFDN:5; ARCH:5; SLEN:5"
"Mid-level Cloud Engineer","Provisions and configures cloud infrastructure and storage, ensuring reliability and cost efficiency.","IFDN:3; ITOP:3; STMG:3"
"Senior Cloud Architect","Designs enterprise cloud architecture, defines migration strategies, and ensures security and scalability of cloud solutions.","IFDN:5; ARCH:5; SCTY:5"
"Junior Data Engineer","Builds and maintains simple data pipelines and assists with data extraction and transformation tasks.","DENG:2; DBDS:2; DATM:2"
"Mid-level Data Engineer","Designs and implements data pipelines and storage solutions to support analytics and reporting needs.","DENG:3; DBDS:3; DATM:3"
"Senior Data Engineer","Architects scalable data platforms, optimises pipeline performance, and sets standards for data engineering practices.","DENG:4; ARCH:4; DATM:4"
"Junior Data Analyst","Extracts and summarises data to support basic reporting and business questions under supervision.","DAAN:2; BINT:2; VISL:2"
"Mid-level Data Analyst","Analyses datasets to identify trends and produces dashboards and reports that inform business decisions.","DAAN:3; BINT:3; VISL:3"
"Senior Data Analyst","Leads complex analyses, defines key business metrics, and advises stakeholders on data-driven strategy.","DAAN:4; BINT:4; MEAS:4"
"Junior Data Scientist","Supports data exploration and builds basic predictive models under close mentorship.","DATS:2; DAAN:2; MLNG:2"
"Mid-level Data Scientist","Develops and validates machine learning models to solve defined business problems.","DATS:3; MLNG:3; DAAN:3"
"Senior Data Scientist / ML Engineer","Leads advanced modelling initiatives, designs ML systems for production, and mentors junior data scientists.","DATS:5; MLNG:5; ARCH:4"
"Junior UX/UI Designer","Creates basic wireframes and UI assets under the guidance of senior designers.","HCEV:2; UNAN:2; USEV:2"
"Mid-level UX/UI Designer","Designs user flows, prototypes and interfaces, conducting usability evaluations to refine the product experience.","HCEV:3; UNAN:3; USEV:3"
"Senior UX/UI Designer","Leads design for major product areas, sets design system standards, and mentors junior designers.","HCEV:4; UNAN:4; USEV:4"
"Mid-level UX Researcher","Plans and conducts user research studies to inform product design decisions and validate assumptions.","URCH:3; UNAN:3; USEV:3"
"Associate Product Manager","Supports product backlog management and gathers requirements under the guidance of senior product managers.","PROD:2; REQM:2; BUSA:2"
"Product Manager","Owns the product roadmap for a product area, prioritises features, and works cross-functionally to deliver value.","PROD:4; REQM:4; BUSA:4"
"Senior Product Manager","Drives product strategy across multiple product lines, aligns roadmaps to business goals, and mentors product managers.","PROD:5; STPL:5; MEAS:5"
"Group Product Manager / Head of Product","Leads the overall product organisation, sets long-term product vision, and drives innovation across the portfolio.","PROD:6; STPL:6; INOV:6"
"Junior Security Analyst (SOC)","Monitors security alerts and assists in triaging incidents under the supervision of senior analysts.","SCAD:2; THIN:2; VUAS:2"
"Mid-level Security Engineer","Implements security controls, manages identity and access solutions, and responds to security incidents.","SCTY:3; VUAS:3; IAMT:3"
"Senior Security Engineer","Designs security architecture, leads vulnerability assessments, and ensures compliance with security policies.","SCTY:4; PENT:4; INAS:4"
"Penetration Tester (Mid-Senior)","Conducts authorised penetration tests and vulnerability research to identify and report security weaknesses.","PENT:4; VUAS:4; VURE:4"
"Lead Security Architect","Defines enterprise security architecture and governance frameworks, advising senior leadership on risk and compliance.","SCTY:5; ARCH:5; GOVN:6"
"Mid-level Project Manager","Plans and manages project delivery, coordinates resources, and manages risks to meet project objectives.","PRMG:4; BURM:3; RESC:3"
"Senior Project Manager","Leads delivery of complex, high-value projects, manages stakeholders, and mentors junior project managers.","PRMG:5; POMG:5; BURM:5"
"Mid-level Business Analyst","Gathers and documents business requirements, analyses processes, and recommends solutions to improve business outcomes.","BUSA:3; REQM:3; FEAS:3"
"Senior Database Administrator","Manages and optimises production databases, ensures data availability and security, and designs database solutions.","DBAD:4; DBDS:4; STMG:4"
"Senior Solution Architect","Designs multi-dimensional technical solutions that align with business architecture and strategic objectives.","ARCH:5; STPL:5; DESN:5"
"Mid-level Network Engineer","Designs, configures and maintains network infrastructure to ensure reliable connectivity and performance.","NTDS:3; NTAS:3; ITOP:3"
"Junior System Administrator","Performs routine system administration tasks and provides first-line support under supervision.","SYSP:2; ITOP:2; USUP:2"
"Mid-level Scrum Master / Agile Coach","Facilitates agile ceremonies, removes team impediments, and coaches teams on agile best practices.","DEMG:3; PRMG:4; OFCL:4"
